participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.6453,1,0,3,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.5409,1,1,4,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.7891,1,2,5,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.5822,2,0,6,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,up,0,0.5378,2,1,7,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,1.1829,2,2,8,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,1.5544,3,0,9,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.8158,3,1,10,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.9365,3,2,11,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,p,,,,,,,,,3,0,6,1,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.8311,0,0,0,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.7451,0,1,1,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,0.5255,0,2,2,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,up,0,1.5924,1,0,3,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.6991,1,1,4,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.8063,1,2,5,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,up,0,0.9613,2,0,6,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,1.7692,2,1,7,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,0.959,2,2,8,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.9011,3,0,9,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.0439,3,1,10,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.6997,3,2,11,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,m,,,,,,,,,3,1,7,0,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.8767,0,0,0,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,right,0,0.7462,0,1,1,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.9144,0,2,2,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.729,1,0,3,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.9489,1,1,4,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.9113,1,2,5,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.6325,2,0,6,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.7892,2,1,7,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.8496,2,2,8,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,p,left,1,0.8587,3,0,9,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,p,right,1,0.7072,3,1,10,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,p,up,1,0.6713,3,2,11,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,,,,,,,,,,,p,,,,,,,,,4,0,8,1,1
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,right,,,,,,,,,spatial,m,right,1,0.7786,0,0,0,1,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,up,,,,,,,,,neither,m,up,1,1.3788,0,1,1,2,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,0.4575,0,2,2,0,1,,,,,
5fdfd04b9bf07d83b2e5f780,2023-04-05_21h30.38.462,supdoc_online,2022.2.5,Win32,75.14277127,left,,,,,,,,,feature,m,left,1,1.0835,1,0,3,0,1,,,,,
