X Scale,Y Scale,catch_pTarget,catch_pProbe,Pimage1,Pimage2,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Wtrials.thisRepN,prac_Wtrials.thisTrialN,prac_Wtrials.thisN,prac_Wtrials.thisIndex,prac_Wtrials.ran,trialID,imFile,imFile2,corr,diff,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,image1,image2,corr_acc,word_loop_set1.thisRepN,word_loop_set1.thisTrialN,word_loop_set1.thisN,word_loop_set1.thisIndex,word_loop_set1.ran,catch_target,catch_probe,key_resp_3.keys,key_resp_3.rt,word_loop_set2.thisRepN,word_loop_set2.thisTrialN,word_loop_set2.thisN,word_loop_set2.thisIndex,word_loop_set2.ran,word_loop_set3.thisRepN,word_loop_set3.thisTrialN,word_loop_set3.thisN,word_loop_set3.thisIndex,word_loop_set3.ran
,,,,,,0,s,0,0.567,,,,,,58,Stimuli/Words/word05.jpg,Stimuli/Words/word06.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word12.jpg,Stimuli/Words/word11.jpg,d,,,,,,,,,,0,5,5,5,1,,,,,
,,,,,,0,s,1,0.651,,,,,,53,Stimuli/Words/word50.jpg,Stimuli/Words/word50.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word24.jpg,Stimuli/Words/word24.jpg,s,,,,,,,,,,0,6,6,6,1,,,,,
,,,,,,0,s,1,0.487,,,,,,91,Stimuli/Words/word10.jpg,Stimuli/Words/word09.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word32.jpg,Stimuli/Words/word32.jpg,s,,,,,,,,,,0,7,7,7,1,,,,,
,,,,,,0,s,1,0.749,,,,,,48,Stimuli/Words/word45.jpg,Stimuli/Words/word45.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word12.jpg,Stimuli/Words/word12.jpg,s,,,,,,,,,,0,8,8,8,1,,,,,
,,,,,,0,d,1,0.634,,,,,,120,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word40.jpg,Stimuli/Words/word39.jpg,d,,,,,,Stimuli/Words/word40.jpg,Stimuli/Words/word39.jpg,,,0,9,9,9,1,,,,,
,,,,,,0,d,1,0.842,,,,,,46,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word45.jpg,Stimuli/Words/word46.jpg,d,,,,,,,,,,0,10,10,10,1,,,,,
,,,,,,0,s,1,0.522,,,,,,96,Stimuli/Words/word15.jpg,Stimuli/Words/word16.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word38.jpg,Stimuli/Words/word38.jpg,s,,,,,,,,,,0,11,11,11,1,,,,,
,,,,,,0,d,1,0.653,,,,,,40,Stimuli/Words/word17.jpg,Stimuli/Words/word17.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word02.jpg,Stimuli/Words/word01.jpg,d,,,,,,,,,,0,12,12,12,1,,,,,
,,,,,,0,s,1,0.5,,,,,,6,Stimuli/Words/word23.jpg,Stimuli/Words/word23.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word02.jpg,Stimuli/Words/word02.jpg,s,,,,,,,,,,0,13,13,13,1,,,,,
,,,,,,0,d,1,0.833,,,,,,106,Stimuli/Words/word45.jpg,Stimuli/Words/word46.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word21.jpg,Stimuli/Words/word22.jpg,d,,,,,,,,,,0,14,14,14,1,,,,,
,,,,,,0,s,1,0.651,,,,,,36,Stimuli/Words/word13.jpg,Stimuli/Words/word13.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word50.jpg,Stimuli/Words/word50.jpg,s,,,,,,,,,,0,15,15,15,1,,,,,
