"X.Scale","Y.Scale","same_target","same_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","diff_target","diff_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
NA,NA,"","",0,"s",0,0.3498,NA,NA,NA,NA,NA,47,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0009_1100.jpg","Stimuli/Faces/CF0050_1100.jpg",0,9,9,11,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3398,NA,NA,NA,NA,NA,48,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0010_1100.jpg","Stimuli/Faces/CM0011_1100.jpg",0,10,10,12,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0011_1100.jpg","Stimuli/Faces/CM0011_1100.jpg",0,"s",1,0.291,NA,NA,NA,NA,NA,64,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,11,11,28,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3515,NA,NA,NA,NA,NA,51,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0052_1100.jpg","Stimuli/Faces/CF0040_1110.jpg",0,12,12,15,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3236,NA,NA,NA,NA,NA,36,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0024_3100.jpg","Stimuli/Faces/CF0021_1100.jpg",0,13,13,0,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.401,NA,NA,NA,NA,NA,49,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0020_1100.jpg","Stimuli/Faces/CM0039_3300.jpg",0,14,14,13,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0040_1110.jpg","Stimuli/Faces/CF0040_1110.jpg",0,"s",1,0.3844,NA,NA,NA,NA,NA,57,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,15,15,21,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0021_1100.jpg","Stimuli/Faces/CF0021_1100.jpg",0,"s",1,0.2776,NA,NA,NA,NA,NA,61,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,16,16,25,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0039_3300.jpg","Stimuli/Faces/CM0039_3300.jpg",0,"d",0,0.3189,NA,NA,NA,NA,NA,67,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,17,17,31,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3707,NA,NA,NA,NA,NA,44,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0033_1100.jpg","Stimuli/Faces/CM0015_1100.jpg",0,18,18,8,1,NA,NA,NA,NA,NA
