X Scale,Y Scale,diff_pTarget,diff_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,catch_pTarget,catch_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,same_target,same_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,diff_target,diff_probe,catch_target,catch_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
,,,,0,s,1,0.5977,,,,,,24,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0009_1100.jpg,Stimuli/Faces/CM0009_1100.jpg,0,34,34,24,1,,,,,,,,,,,,,,
,,,,0,d,0,1.0719,,,,,,18,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0021_1100.jpg,Stimuli/Faces/CF0021_1100.jpg,0,35,35,18,1,,,,,,,,,,,,,,
,,,,0,d,1,0.4397,,,,,,38,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0031_1100.jpg,Stimuli/Faces/CM0030_1100.jpg,,,0,0,0,2,1,,,,,
,,,,0,d,0,0.8201,,,,,,55,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0030_1100.jpg,Stimuli/Faces/CM0030_1100.jpg,,,,,,,,,,0,1,1,19,1,,,,,
,,,,0,s,1,0.5177,,,,,,54,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0048_1100.jpg,Stimuli/Faces/CM0048_1100.jpg,,,,,,,,,,0,2,2,18,1,,,,,
,,,,0,d,1,0.5931,,,,,,40,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0035_1100.jpg,Stimuli/Faces/CM0048_1100.jpg,,,0,3,3,4,1,,,,,
,,,,0,s,1,0.7853,,,,,,63,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0010_1100.jpg,Stimuli/Faces/CF0010_1100.jpg,,,,,,,,,,0,4,4,27,1,,,,,
,,,,0,s,1,0.5976,,,,,,53,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,,,,,,,,,,0,5,5,17,1,,,,,
,,,,0,s,1,0.4939,,,,,,59,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0040_1110.jpg,Stimuli/Faces/CF0040_1110.jpg,,,,,,,,,,0,6,6,23,1,,,,,
,,,,0,s,1,0.8177,,,,,,69,catch_target,catch_probe,s,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0008_1100.jpg,Stimuli/Faces/CF0008_1100.jpg,0,7,7,33,1,,,,,
,,,,0,s,1,0.5165,,,,,,57,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,,,,,,,,,,0,8,8,21,1,,,,,
,,,,0,s,1,0.7144,,,,,,62,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CF0031_1100.jpg,Stimuli/Faces/CF0031_1100.jpg,,,,,,,,,,0,9,9,26,1,,,,,
,,,,0,d,1,0.498,,,,,,71,catch_target,catch_probe,d,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0023_1100.jpg,Stimuli/Faces/CM0005_1100.jpg,0,10,10,35,1,,,,,
,,,,0,s,0,0.9136,,,,,,51,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0057_1100.jpg,Stimuli/Faces/CF0010_1100.jpg,,,0,11,11,15,1,,,,,
,,,,0,s,0,0.6417,,,,,,46,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0024_3100.jpg,Stimuli/Faces/CM0029_1100.jpg,,,0,12,12,10,1,,,,,
,,,,0,s,1,0.5623,,,,,,56,same_face,same_face,s,s,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,Stimuli/Faces/CM0015_1100.jpg,Stimuli/Faces/CM0015_1100.jpg,,,,,,,,,,0,13,13,20,1,,,,,
,,,,0,d,1,0.491,,,,,,70,catch_target,catch_probe,d,c,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0048_1100.jpg,Stimuli/Faces/CF0026_1110.jpg,0,14,14,34,1,,,,,
,,,,0,d,1,0.5179,,,,,,50,rand_face,rand_face,d,d,SI,,1,0.05,0.05,2023-04-25_11h36.09.267,02_face_task,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0016_1100.jpg,Stimuli/Faces/CF0040_1110.jpg,,,0,15,15,14,1,,,,,
