space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
58746.0,29970.25,58117.5,29820.0,56236.0,30479.25,55632.0,29812.75,56095.0,27816.25,51749.0,30209.25,55318.5,26062.0,56675.0,26488.75
59878.5,29661.25,56921.0,28688.0,57002.25,30920.25,55637.75,28245.25,57159.25,29738.75,59052.0,28771.5,55619.0,29478.75,58786.75,27679.5
56871.25,28724.75,52566.5,28941.5,54499.0,27535.0,60390.5,31738.5,57168.25,27976.25,53085.25,31669.5,57553.25,29413.25,55770.5,19295.5
57025.5,27824.0,53834.25,28080.25,52065.0,25693.75,64523.75,28023.75,57874.5,31202.5,51838.25,22503.5,56901.25,26991.75,52251.0,29245.5
54660.5,26966.75,49988.0,28171.75,58805.5,28358.0,58626.0,31075.5,53967.0,29435.0,55119.75,27214.5,55491.5,27316.5,45236.5,29310.5
55991.75,28964.0,52450.5,31886.0,57027.25,30532.5,53823.75,30807.75,59711.0,26851.5,53747.25,21832.75,58904.5,27400.5,52940.5,27092.5
54441.0,26344.25,55833.0,28049.25,58479.75,28772.75,52529.25,29161.75,54709.25,27916.75,54925.5,27402.25,52436.5,27943.0,54301.25,28685.75
54983.0,28304.0,58052.75,29101.0,56762.75,29696.0,59423.25,29567.5,56529.25,29713.5,56237.0,22698.75,54113.0,28864.0,56628.25,29706.0
56959.75,29880.0,57416.75,29302.25,58913.0,30429.5,52147.0,27427.75,54879.5,25720.0,43837.75,26757.0,52811.25,26372.25,52905.75,29253.25
59097.0,29377.75,60754.75,28101.0,60345.75,27871.0,57988.5,26285.5,55205.75,29281.5,41961.75,27857.0,56898.0,28940.0,54957.5,28616.5
55378.5,27176.5,58759.25,29907.0,57164.75,29691.75,54343.5,31346.0,58330.75,29479.0,55588.75,29699.25,61258.0,28253.75,51836.75,29648.5
56702.5,27091.75,58006.5,28044.5,60368.5,31859.75,58139.5,29634.25,55603.0,27035.0,54530.5,29338.75,55794.5,29211.5,56159.5,22991.25
57374.5,31549.25,59025.75,33493.0,54770.5,29954.25,59935.0,30534.75,52227.75,27886.5,57892.75,28084.5,55702.75,28180.75,54473.0,28671.25
59719.25,29621.25,56553.25,27466.0,62147.5,28875.25,61059.5,29166.75,58270.25,30171.5,55478.0,28644.25,55326.5,25990.5,41538.25,31981.25
57172.25,27771.0,57669.5,30763.25,57471.5,27717.75,58489.0,28618.0,51793.0,27951.25,52330.75,27970.5,56795.5,27462.75,55379.25,27752.75
52600.0,27502.75,59071.0,29816.5,59834.25,29550.5,56013.25,28225.0,58382.25,29215.0,57289.5,28862.75,55954.0,28566.0,54888.0,27627.0
57710.75,30522.25,52712.75,28833.5,59850.25,29368.5,51900.25,30168.25,57900.25,31053.5,51327.25,27029.5,58734.75,26643.25,57368.25,28480.5
63384.75,31338.75,57264.5,27937.5,56457.25,28405.0,57881.5,29969.0,56469.0,27802.5,45768.25,29157.25,59234.25,27123.5,52573.0,29392.75
57742.5,25786.0,52419.0,29499.25,56589.25,28680.25,60632.0,30875.0,56076.5,26720.0,54505.25,28765.0,56605.0,30822.25,45734.5,29760.0
58819.0,30030.5,43267.25,28353.75,52434.75,29113.25,52673.75,29412.75,58409.25,27459.0,53236.25,30665.0,52278.25,27388.0,53568.25,27785.5
55313.5,27701.5,55180.25,29380.25,53618.0,29106.0,56311.5,28494.75,56154.0,31117.5,55173.25,29087.75,52379.0,29471.25,44217.75,28496.5
55522.75,28946.5,45649.25,24259.0,53945.25,28129.0,57018.75,30034.25,53240.75,27546.25,56834.25,28381.25,59116.0,29039.0,46083.25,27431.5
54711.0,30861.25,58248.0,29251.0,57573.0,28545.5,50916.25,28802.5,55688.5,28425.5,53309.75,29962.0,53948.25,27171.75,55917.0,28308.5
57217.25,28456.25,56139.5,27700.75,57288.0,30410.75,55265.25,30929.75,58863.25,27181.0,56748.5,28777.25,59713.5,28000.5,51678.75,28198.5
58872.75,26448.25,54797.0,28574.75,57561.75,28244.5,58583.0,30362.0,58918.5,27757.0,56751.5,27709.75,58041.75,26460.0,56977.75,29285.5
55175.0,28920.0,53738.0,29472.75,59266.5,28641.75,57002.0,28708.25,58580.0,26269.0,41903.5,30044.75,55611.25,28551.0,53984.0,29901.5
58479.75,29137.75,47855.25,29256.75,54968.5,29654.75,55722.75,31825.5,56195.5,28788.5,47178.0,27321.0,55513.75,29552.0,53373.0,27754.25
57439.25,29455.0,60550.75,27666.0,61713.75,28969.75,54551.0,28877.25,60822.5,27070.0,56190.0,27638.0,58598.75,27296.5,54969.25,23536.0
58078.75,29166.75,56368.25,28163.75,53201.0,28402.5,54549.75,27589.75,58971.0,29571.0,56529.0,23390.25,58660.75,27746.5,52185.75,29756.75
59596.75,26391.5,56507.5,29746.75,57965.25,29066.0,54017.25,27974.5,50317.5,25732.0,54156.5,28893.0,57985.75,27676.25,53729.5,29357.5
60743.25,28767.5,54172.5,31781.75,56370.5,27475.25,57366.75,29902.75,55855.25,29003.75,53186.75,28561.25,58373.75,29006.0,55926.75,28641.75
55108.25,27872.0,56435.0,30773.5,59981.0,27301.5,59034.75,28572.5,58103.75,26869.25,58027.5,26685.5,51355.75,28836.5,51554.5,27956.75
57579.25,30426.75,52856.75,24741.0,55124.75,25768.5,63937.75,28680.25,57028.25,28512.5,43812.75,30478.75,60579.25,27706.75,53018.0,22499.25
58610.25,32307.5,55303.25,29055.5,58146.75,30382.5,57602.5,30362.0,54331.75,28154.0,34053.0,29978.0,55061.25,29689.5,56173.25,29093.25
56362.0,29105.0,53056.75,24964.75,53292.25,27854.5,53232.5,27734.5,56616.5,26862.75,59041.5,29181.5,54681.25,26131.25,55121.25,28452.5
53371.75,28817.25,62417.5,28907.75,63743.5,27813.5,56373.25,29855.25,54735.0,29159.25,55029.25,23334.5,52478.5,29293.5,57257.25,28571.25
60437.25,28542.75,62313.25,27328.25,56980.0,30751.75,55756.0,29004.75,60327.5,28360.75,55149.25,22709.75,54948.25,28834.75,52276.5,30391.5
54277.75,27502.5,44961.0,28544.75,59637.25,29483.75,56204.0,29339.75,62125.0,26699.5,54230.5,28036.0,57355.5,26731.25,56364.5,29040.0
53671.0,31096.0,56034.5,27757.75,56967.5,31473.0,57157.5,29437.75,53556.75,28298.5,54144.5,29822.75,59799.5,29208.5,42779.5,28930.5
59088.5,29679.75,54955.0,30386.5,61256.75,30102.5,55801.0,28808.75,51045.75,28267.75,58306.75,28956.0,55134.25,26710.0,58278.5,28061.25
59912.0,28281.75,51172.75,30381.5,58303.75,28185.0,58708.75,27133.0,59042.75,30120.5,54754.0,28444.0,58850.25,27836.5,54089.75,30138.25
53653.0,31715.0,54064.0,29167.25,55899.75,28922.5,57153.25,30485.0,53469.5,27032.5,43864.25,27660.5,55036.0,27785.0,58181.5,26935.25
55708.75,28390.0,52582.0,22489.0,53124.0,30255.75,58910.0,29859.75,56188.75,27357.0,55697.25,26541.75,58014.5,28516.75,54144.5,28274.0
59111.5,31539.5,66568.5,28414.0,53064.5,25650.75,57100.0,31546.0,53951.0,29614.75,54721.75,28231.75,59570.75,29723.0,52374.25,27904.0
57364.25,28063.5,58649.0,27280.25,55663.25,27420.5,55353.25,29909.25,59772.0,29522.25,52556.5,27276.5,51592.0,30850.5,54665.75,30179.0
57345.0,31271.75,58778.75,30807.0,59112.0,28376.5,55353.75,30097.25,62629.5,29216.5,57142.5,28637.0,56180.25,27591.25,53233.0,27795.5
51929.0,29358.75,59228.0,24671.25,54457.0,32807.0,53384.0,30064.25,56820.75,28261.5,56415.75,27977.25,54575.5,26687.5,57262.75,28723.25
57086.5,29393.25,57612.5,26949.0,57656.25,30865.5,55135.5,28997.25,52786.75,28546.75,45622.5,27309.5,57712.5,27014.25,51009.25,29278.5
56218.5,28668.75,56679.25,32525.25,61132.75,27778.5,56700.25,29349.0,55178.5,27431.0,41621.0,28251.75,51329.0,29455.75,52883.5,29310.75
65143.75,27689.75,53053.75,29723.0,58510.25,30169.25,58686.75,26818.75,62081.75,28177.0,54051.5,29042.25,58799.0,28555.0,59335.5,29223.0
55443.0,29378.25,42254.5,29275.25,53937.5,28266.0,54692.0,28858.75,56929.75,27456.0,55743.25,27075.5,56610.0,30107.25,57532.75,27423.75
60407.25,30114.0,54112.5,27325.25,56770.25,29241.75,55848.75,28253.0,55219.0,26450.5,53437.75,23669.25,60361.75,29363.5,57103.0,28068.25
53619.5,26776.25,52370.25,25758.5,57064.75,28551.25,58185.0,32120.0,54802.5,30608.25,56090.75,28351.0,61244.0,29636.25,54253.25,28252.25
60650.25,29216.0,43064.75,28549.5,52828.0,27317.5,60264.5,29824.5,54202.75,26968.5,58216.5,30146.75,58735.75,30639.5,57485.75,29032.25
