sub,group,hemi,roi,cond,roi_size,mean_act,volume,sum_selec
sub-hemispace2001,control,left,dorsal_visual_cortex,space,53419,5.743982791900635,12740.0,73178.34375
sub-hemispace2001,control,left,dorsal_visual_cortex,feat,53419,5.263918399810791,12492.0,65756.8671875
sub-hemispace2001,control,left,dorsal_visual_cortex,tool,53419,4.253093719482422,6297.0,26781.73046875
sub-hemispace2001,control,left,dorsal_visual_cortex,non_tool,53419,3.88297438621521,4535.0,17609.2890625
sub-hemispace2001,control,left,dorsal_visual_cortex,object,53419,3.442413091659546,3300.0,11359.962890625
sub-hemispace2001,control,left,dorsal_visual_cortex,face,53419,2.9322142601013184,325.0,952.9696044921875
sub-hemispace2001,control,left,dorsal_visual_cortex,word,53419,2.8875412940979004,1062.0,3066.56884765625
sub-hemispace2001,control,left,ventral_visual_cortex,space,351062,4.8185906410217285,49047.0,236337.40625
sub-hemispace2001,control,left,ventral_visual_cortex,feat,351062,4.805226802825928,45670.0,219454.71875
sub-hemispace2001,control,left,ventral_visual_cortex,tool,351062,4.370477676391602,28815.0,125935.3125
sub-hemispace2001,control,left,ventral_visual_cortex,non_tool,351062,4.265051364898682,23747.0,101282.1796875
sub-hemispace2001,control,left,ventral_visual_cortex,object,351062,3.6084258556365967,16016.0,57792.546875
sub-hemispace2001,control,left,ventral_visual_cortex,face,351062,3.2336251735687256,3014.0,9746.146484375
sub-hemispace2001,control,left,ventral_visual_cortex,word,351062,3.144564390182495,5874.0,18471.171875
sub-hemispace2001,control,left,hemi,space,647442,4.699097156524658,80223.0,376975.6875
sub-hemispace2001,control,left,hemi,feat,647442,4.679144382476807,75170.0,351731.28125
sub-hemispace2001,control,left,hemi,tool,647442,4.195524215698242,42676.0,179048.1875
sub-hemispace2001,control,left,hemi,non_tool,647442,4.094065189361572,32363.0,132496.234375
sub-hemispace2001,control,left,hemi,object,647442,3.50594425201416,21472.0,75279.6328125
sub-hemispace2001,control,left,hemi,face,647442,3.1512956619262695,4351.0,13711.287109375
sub-hemispace2001,control,left,hemi,word,647442,3.154959201812744,9069.0,28612.32421875
sub-hemispace2001,control,right,dorsal_visual_cortex,space,51286,6.586789131164551,22070.0,145370.4375
sub-hemispace2001,control,right,dorsal_visual_cortex,feat,51286,6.135585308074951,20708.0,127055.703125
sub-hemispace2001,control,right,dorsal_visual_cortex,tool,51286,4.439497947692871,12612.0,55990.9453125
sub-hemispace2001,control,right,dorsal_visual_cortex,non_tool,51286,4.356586933135986,10272.0,44750.859375
sub-hemispace2001,control,right,dorsal_visual_cortex,object,51286,3.700681686401367,5956.0,22041.259765625
sub-hemispace2001,control,right,dorsal_visual_cortex,face,51286,2.931513547897339,453.0,1327.9755859375
sub-hemispace2001,control,right,dorsal_visual_cortex,word,51286,2.916879177093506,2016.0,5880.42822265625
sub-hemispace2001,control,right,ventral_visual_cortex,space,339414,5.552218914031982,62694.0,348090.8125
sub-hemispace2001,control,right,ventral_visual_cortex,feat,339414,5.2908244132995605,60721.0,321264.15625
sub-hemispace2001,control,right,ventral_visual_cortex,tool,339414,4.534234046936035,40749.0,184765.5
sub-hemispace2001,control,right,ventral_visual_cortex,non_tool,339414,4.368256568908691,33730.0,147341.296875
sub-hemispace2001,control,right,ventral_visual_cortex,object,339414,3.9813430309295654,21860.0,87032.15625
sub-hemispace2001,control,right,ventral_visual_cortex,face,339414,3.509755849838257,6241.0,21904.38671875
sub-hemispace2001,control,right,ventral_visual_cortex,word,339414,3.0197463035583496,6568.0,19833.693359375
sub-hemispace2001,control,right,hemi,space,617735,5.339208602905273,100611.0,537183.125
sub-hemispace2001,control,right,hemi,feat,617735,5.107653617858887,98835.0,504814.9375
sub-hemispace2001,control,right,hemi,tool,617735,4.255815029144287,60386.0,256991.640625
sub-hemispace2001,control,right,hemi,non_tool,617735,4.092803955078125,47666.0,195087.59375
sub-hemispace2001,control,right,hemi,object,617735,3.79819655418396,27327.0,103793.3203125
sub-hemispace2001,control,right,hemi,face,617735,3.370009422302246,8775.0,29571.83203125
sub-hemispace2001,control,right,hemi,word,617735,2.9710404872894287,10835.0,32191.22265625
sub-hemispace2002,control,left,dorsal_visual_cortex,space,50186,5.578921318054199,16775.0,93586.40625
sub-hemispace2002,control,left,dorsal_visual_cortex,feat,50186,5.67295503616333,13304.0,75472.9921875
sub-hemispace2002,control,left,dorsal_visual_cortex,tool,50186,4.027316570281982,8760.0,35279.29296875
sub-hemispace2002,control,left,dorsal_visual_cortex,non_tool,50186,4.067608833312988,4375.0,17795.7890625
sub-hemispace2002,control,left,dorsal_visual_cortex,object,50186,3.0555579662323,1593.0,4867.50390625
sub-hemispace2002,control,left,dorsal_visual_cortex,face,50186,2.551053762435913,35.0,89.28688049316406
sub-hemispace2002,control,left,dorsal_visual_cortex,word,50186,3.0023648738861084,225.0,675.5321044921875
sub-hemispace2002,control,left,ventral_visual_cortex,space,333433,4.539239406585693,60563.0,274909.96875
sub-hemispace2002,control,left,ventral_visual_cortex,feat,333433,4.71757698059082,46292.0,218386.078125
sub-hemispace2002,control,left,ventral_visual_cortex,tool,333433,3.8759520053863525,24154.0,93619.7421875
sub-hemispace2002,control,left,ventral_visual_cortex,non_tool,333433,3.873178005218506,12920.0,50041.4609375
sub-hemispace2002,control,left,ventral_visual_cortex,object,333433,3.1458241939544678,6932.0,21806.853515625
sub-hemispace2002,control,left,ventral_visual_cortex,face,333433,2.9595890045166016,957.0,2832.32666015625
sub-hemispace2002,control,left,ventral_visual_cortex,word,333433,3.2714319229125977,2074.0,6784.94970703125
sub-hemispace2002,control,left,hemi,space,608579,4.3156657218933105,96063.0,414575.8125
sub-hemispace2002,control,left,hemi,feat,608579,4.462350845336914,70969.0,316688.5625
sub-hemispace2002,control,left,hemi,tool,608579,3.7276175022125244,30469.0,113576.78125
sub-hemispace2002,control,left,hemi,non_tool,608579,3.809523582458496,14295.0,54457.140625
sub-hemispace2002,control,left,hemi,object,608579,3.0841317176818848,8075.0,24904.36328125
sub-hemispace2002,control,left,hemi,face,608579,2.86395001411438,1301.0,3725.9990234375
sub-hemispace2002,control,left,hemi,word,608579,3.248328924179077,2556.0,8302.728515625
sub-hemispace2002,control,right,dorsal_visual_cortex,space,51925,5.805420398712158,19722.0,114494.5
sub-hemispace2002,control,right,dorsal_visual_cortex,feat,51925,5.586330413818359,13960.0,77985.171875
sub-hemispace2002,control,right,dorsal_visual_cortex,tool,51925,4.059273719787598,7479.0,30359.30859375
sub-hemispace2002,control,right,dorsal_visual_cortex,non_tool,51925,4.152010917663574,3882.0,16118.10546875
sub-hemispace2002,control,right,dorsal_visual_cortex,object,51925,3.0428719520568848,737.0,2242.5966796875
sub-hemispace2002,control,right,dorsal_visual_cortex,face,51925,2.6311075687408447,52.0,136.81759643554688
sub-hemispace2002,control,right,dorsal_visual_cortex,word,51925,2.6495320796966553,66.0,174.86911010742188
sub-hemispace2002,control,right,ventral_visual_cortex,space,345815,4.989587783813477,69440.0,346476.96875
sub-hemispace2002,control,right,ventral_visual_cortex,feat,345815,5.038763046264648,51448.0,259234.28125
sub-hemispace2002,control,right,ventral_visual_cortex,tool,345815,4.07014274597168,22752.0,92603.8828125
sub-hemispace2002,control,right,ventral_visual_cortex,non_tool,345815,4.106159210205078,13975.0,57383.57421875
sub-hemispace2002,control,right,ventral_visual_cortex,object,345815,3.21871018409729,4847.0,15601.087890625
sub-hemispace2002,control,right,ventral_visual_cortex,face,345815,3.176253318786621,1878.0,5965.00390625
sub-hemispace2002,control,right,ventral_visual_cortex,word,345815,3.2328343391418457,366.0,1183.2174072265625
sub-hemispace2002,control,right,hemi,space,630400,4.728516101837158,110589.0,522921.875
sub-hemispace2002,control,right,hemi,feat,630400,4.7750959396362305,78193.0,373379.09375
sub-hemispace2002,control,right,hemi,tool,630400,3.9198787212371826,30084.0,117925.6328125
sub-hemispace2002,control,right,hemi,non_tool,630400,4.110509872436523,17099.0,70285.609375
sub-hemispace2002,control,right,hemi,object,630400,3.173489809036255,5272.0,16730.638671875
sub-hemispace2002,control,right,hemi,face,630400,3.0706701278686523,2326.0,7142.37890625
sub-hemispace2002,control,right,hemi,word,630400,3.4726548194885254,644.0,2236.3896484375
sub-hemispace2003,control,left,dorsal_visual_cortex,space,52179,5.90924596786499,13707.0,80998.03125
sub-hemispace2003,control,left,dorsal_visual_cortex,feat,52179,5.818531036376953,10366.0,60314.89453125
sub-hemispace2003,control,left,dorsal_visual_cortex,tool,52179,5.421690464019775,13963.0,75703.0625
sub-hemispace2003,control,left,dorsal_visual_cortex,non_tool,52179,5.632856369018555,11233.0,63273.875
sub-hemispace2003,control,left,dorsal_visual_cortex,object,52179,3.335873603820801,1010.0,3369.232421875
sub-hemispace2003,control,left,dorsal_visual_cortex,face,52179,2.4794514179229736,18.0,44.630126953125
sub-hemispace2003,control,left,dorsal_visual_cortex,word,52179,2.83617901802063,433.0,1228.0655517578125
sub-hemispace2003,control,left,ventral_visual_cortex,space,335253,6.031493663787842,33904.0,204491.765625
sub-hemispace2003,control,left,ventral_visual_cortex,feat,335253,5.905880451202393,29216.0,172546.203125
sub-hemispace2003,control,left,ventral_visual_cortex,tool,335253,5.537814140319824,43950.0,243386.921875
