space_left_hemi,space_left_dorsal_visual_cortex,space_left_ventral_visual_cortex,space_right_hemi,space_right_dorsal_visual_cortex,space_right_ventral_visual_cortex,tool_left_hemi,tool_left_dorsal_visual_cortex,tool_left_ventral_visual_cortex,tool_right_hemi,tool_right_dorsal_visual_cortex,tool_right_ventral_visual_cortex,face_left_hemi,face_left_dorsal_visual_cortex,face_left_ventral_visual_cortex,face_right_hemi,face_right_dorsal_visual_cortex,face_right_ventral_visual_cortex,word_left_hemi,word_left_dorsal_visual_cortex,word_left_ventral_visual_cortex,word_right_hemi,word_right_dorsal_visual_cortex,word_right_ventral_visual_cortex
702695.5,53923.25,27379.0,742375.0,56640.0,31824.0,695867.75,61705.75,27643.5,647718.75,59894.25,30575.25,670471.5,55853.75,29596.0,704276.75,53687.25,30145.25,692261.25,59895.0,29891.75,712572.75,59217.5,28016.25
694889.5,61044.75,27962.5,764434.0,59736.5,29049.25,678902.5,57498.0,28460.25,731224.25,54022.75,32402.0,643344.75,56027.25,28721.5,665328.75,58595.25,27357.75,677363.25,61111.0,28641.75,673518.25,57739.75,28865.25
709389.0,56360.5,28392.25,748631.25,62088.25,25994.5,705607.5,61909.75,28694.0,746586.0,56953.25,29485.25,687351.5,58270.0,30185.25,658462.5,52374.5,29165.0,681934.75,54770.0,29146.0,641413.5,54218.25,26589.75
711276.25,56729.0,28268.75,672739.0,56370.25,28167.0,749089.75,54727.25,31233.0,656403.5,59571.75,29831.75,681337.25,53893.5,27842.75,665812.0,55700.5,29345.0,693948.25,58970.75,29460.25,670129.25,52506.25,28624.0
763024.5,61420.0,27382.25,643988.5,58247.5,30031.75,674388.75,60984.0,31320.0,654406.25,60630.0,28226.0,712377.25,56755.75,28629.25,614695.0,58381.0,27743.25,699426.75,53424.0,27948.5,663731.5,56283.75,29812.25
653492.25,60425.5,30156.5,687971.75,55205.5,29556.5,689433.0,57393.0,27710.0,722726.75,61362.75,29079.25,706068.0,59270.5,28886.25,667365.25,57431.25,28724.25,722063.75,57951.75,29711.0,656679.75,53953.5,27576.5
661739.0,55783.75,28857.75,695911.0,54772.0,30476.75,713452.5,58995.75,31413.75,665917.5,57839.25,30313.0,691211.75,59239.0,29992.0,679572.5,53737.75,27845.0,707950.5,55162.25,29273.75,615858.0,55024.0,29178.75
686520.25,55190.75,29102.75,693411.25,58282.75,29874.75,727897.75,61909.75,30239.25,712657.25,60584.0,30398.25,661420.75,57781.25,28196.5,699077.0,56096.0,27889.75,663057.5,58341.25,28603.25,648107.5,54803.5,29272.25
705202.25,59658.5,32866.5,681400.25,54136.0,29687.75,672385.25,60844.75,29250.75,665012.25,55050.0,29451.5,709957.5,56846.25,30973.5,668721.5,55925.75,32417.25,693602.25,60435.0,27344.75,670905.25,54730.5,31933.5
742912.5,53501.75,29943.25,687076.75,53212.0,29918.25,719389.75,53467.75,31921.0,698277.0,62777.0,30080.5,677700.75,53972.5,27838.25,647506.75,55129.75,28980.75,696525.0,60184.0,26651.75,706929.75,56070.25,27967.25
762842.75,56491.0,28163.0,661116.25,58175.75,29959.25,684374.25,58827.5,28929.0,744252.5,62956.25,28486.75,684585.25,55562.75,27815.5,715064.25,55587.5,28674.0,662545.25,57990.75,28683.75,657602.5,52921.5,29012.0
653925.75,63368.75,29610.25,684832.0,58468.0,31169.5,668761.25,56528.75,32307.5,747888.5,53877.0,30814.75,651820.5,52517.25,30662.0,662799.25,54135.5,29092.0,699053.75,60421.25,28707.25,637640.25,58490.25,28971.0
708458.5,52745.5,29043.25,658394.5,54354.0,30013.25,725282.5,56053.25,28838.0,640121.25,56308.0,30136.5,670422.25,58253.75,27311.25,733217.75,56040.75,29683.5,656516.5,58590.75,30192.0,644935.5,50743.25,28729.0
671444.75,60122.25,27979.5,652807.5,58431.5,30016.0,719079.25,64250.25,29631.25,712383.0,58431.5,30064.25,698033.0,57291.25,28586.25,667658.25,51455.75,30434.75,624890.75,56492.0,30901.25,711573.25,58127.5,30023.75
745666.0,52166.25,30345.0,689041.5,54044.25,30020.75,703188.75,53226.75,32019.25,684900.0,56151.75,29886.75,670248.25,59025.25,31392.0,718551.0,51995.25,28760.5,685846.5,53024.25,30360.5,675047.5,52340.5,28223.25
694085.75,59789.5,32572.0,643879.0,56490.0,32966.5,674234.75,53913.75,31022.5,753302.0,54981.0,32874.25,696133.5,56764.0,27294.75,661976.0,52435.75,30880.0,664799.0,57107.0,30107.25,635098.5,55757.25,27747.0
700619.25,55104.75,27901.25,737536.5,60636.25,30918.5,697743.0,56945.5,30910.75,716933.5,54920.75,28739.75,668066.25,57699.5,28919.75,711182.25,60243.75,26756.0,664652.0,60865.0,28950.0,726860.5,57334.5,28861.0
