sub,group,hemi,roi,cond,roi_size,mean_act,volume,sum_selec,sum_selec_norm
sub-106,control,left,dorsal_visual_cortex,space,50820,3.5968874,5306.0,19085.084,375.54277812622985
sub-106,control,left,dorsal_visual_cortex,tool,50820,2.8417647,57.0,161.98059,3.187339449435508
sub-106,control,left,dorsal_visual_cortex,face,50820,2.9805484,190.0,566.3042,11.143333317960447
sub-106,control,left,dorsal_visual_cortex,word,50820,3.766078,1016.0,3826.3352,75.29191666820395
sub-106,control,left,ventral_visual_cortex,space,27015,3.0076163,372.0,1118.8333,41.41526011301592
sub-106,control,left,ventral_visual_cortex,tool,27015,3.2503705,144.0,468.05334,17.325683684122247
sub-106,control,left,ventral_visual_cortex,face,27015,3.203605,273.0,874.58417,32.37402063596034
sub-106,control,left,ventral_visual_cortex,word,27015,3.0016563,244.0,732.4041,27.111016611864937
sub-106,control,right,hemi,space,620092,3.6734242,35866.0,131751.03,212.47013547989656
sub-106,control,right,hemi,tool,620092,3.1868885,4302.0,13709.994,22.109612993918645
sub-106,control,right,hemi,face,620092,3.2650857,7237.0,23629.426,38.10632257995588
sub-106,control,right,hemi,word,620092,3.1631937,7767.0,24568.525,39.62077464412539
sub-106,control,right,dorsal_visual_cortex,space,50757,3.9262269,8558.0,33600.65,661.9904335855153
sub-106,control,right,dorsal_visual_cortex,tool,50757,2.9778552,383.0,1140.5186,22.470172679384124
sub-106,control,right,dorsal_visual_cortex,face,50757,3.1428573,415.0,1304.2858,25.69666778181458
sub-106,control,right,dorsal_visual_cortex,word,50757,3.7202382,771.0,2868.3037,56.5105051704691
sub-106,control,right,ventral_visual_cortex,space,26997,3.328818,1845.0,6141.6694,227.4945154496333
sub-106,control,right,ventral_visual_cortex,tool,26997,3.30903,289.0,956.3097,35.42281336381126
sub-106,control,right,ventral_visual_cortex,face,26997,3.1871786,688.0,2192.7788,81.22305473177575
sub-106,control,right,ventral_visual_cortex,word,26997,3.090149,232.0,716.91455,26.55534136316072
sub-107,control,left,hemi,space,708712,3.0533955,3731.0,11392.219,16.074539093454042
sub-107,control,left,hemi,tool,708712,3.4085999,10617.0,36189.105,51.063204050093695
sub-107,control,left,hemi,face,708712,3.350523,1489.0,4988.9287,7.039430277655097
sub-107,control,left,hemi,word,708712,3.8590167,2344.0,9045.535,12.763344145788416
sub-107,control,left,dorsal_visual_cortex,space,60149,3.1260338,654.0,2044.4261,33.9893622081986
sub-107,control,left,dorsal_visual_cortex,tool,60149,3.3952794,3420.0,11611.855,193.0515132213337
sub-107,control,left,dorsal_visual_cortex,face,60149,3.8175168,264.0,1007.82446,16.755464976817986
sub-107,control,left,dorsal_visual_cortex,word,60149,3.5376394,196.0,693.3773,11.52766162921973
sub-107,control,left,ventral_visual_cortex,space,30784,,0.0,0.0,0.0
sub-107,control,left,ventral_visual_cortex,tool,30784,3.6412919,558.0,2031.8408,66.00314515048402
sub-107,control,left,ventral_visual_cortex,face,30784,3.3583071,329.0,1104.883,35.89147143453174
sub-107,control,left,ventral_visual_cortex,word,30784,3.8727868,419.0,1622.6976,52.71237109654163
sub-107,control,right,hemi,space,735601,3.3481646,6694.0,22412.613,30.46843775531844
sub-107,control,right,hemi,tool,735601,3.0648065,4406.0,13503.537,18.35714892907296
sub-107,control,right,hemi,face,735601,3.7962756,5441.0,20655.535,28.079808423656303
sub-107,control,right,hemi,word,735601,3.71453,2626.0,9754.355,13.26038908151294
sub-107,control,right,dorsal_visual_cortex,space,60474,3.544807,812.0,2878.3833,47.59703840958511
sub-107,control,right,dorsal_visual_cortex,tool,60474,3.0307891,1314.0,3982.457,65.85403696216557
sub-107,control,right,dorsal_visual_cortex,face,60474,3.319593,221.0,733.63007,12.131330256274907
sub-107,control,right,dorsal_visual_cortex,word,60474,3.4447882,442.0,1522.5964,25.17770340223691
sub-107,control,right,ventral_visual_cortex,space,31273,3.4196,342.0,1169.5032,37.39657768132654
sub-107,control,right,ventral_visual_cortex,tool,31273,3.6060803,443.0,1597.4935,51.0821964721465
sub-107,control,right,ventral_visual_cortex,face,31273,3.9851642,2051.0,8173.572,261.36193449121447
sub-107,control,right,ventral_visual_cortex,word,31273,4.383839,173.0,758.4042,24.251084795340628
sub-spaceloc1001,control,left,hemi,space,810713,3.522608,40751.0,143549.8,177.06610955418256
sub-spaceloc1001,control,left,hemi,tool,810713,3.2573454,13987.0,45560.492,56.1980530563837
sub-spaceloc1001,control,left,dorsal_visual_cortex,space,68359,3.5006397,6307.0,22078.535,322.9792003430419
sub-spaceloc1001,control,left,dorsal_visual_cortex,tool,68359,3.3383129,3747.0,12508.658,182.9848038023523
sub-spaceloc1001,control,left,ventral_visual_cortex,space,33270,3.3983846,2844.0,9665.006,290.50212982792306
sub-spaceloc1001,control,left,ventral_visual_cortex,tool,33270,3.6549368,1523.0,5566.4688,167.31195521490832
sub-spaceloc1001,control,right,hemi,space,791221,3.5369537,34589.0,122339.69,154.6213858075051
sub-spaceloc1001,control,right,hemi,tool,791221,3.2934048,11669.0,38430.742,48.57143855825364
sub-spaceloc1001,control,right,dorsal_visual_cortex,space,66983,3.6243954,6884.0,24950.338,372.4876146279653
sub-spaceloc1001,control,right,dorsal_visual_cortex,tool,66983,3.461812,4117.0,14252.28,212.7745886782841
sub-spaceloc1001,control,right,ventral_visual_cortex,space,34140,3.2440958,2097.0,6802.8687,199.2638738237771
sub-spaceloc1001,control,right,ventral_visual_cortex,tool,34140,3.6002278,1541.0,5547.951,162.50589255638548
sub-spaceloc1002,control,left,hemi,space,814568,3.3621929,14248.0,47904.523,58.80972912942811
sub-spaceloc1002,control,left,hemi,tool,814568,3.573796,9926.0,35473.5,43.54885043360407
sub-spaceloc1002,control,left,dorsal_visual_cortex,space,71400,3.3947961,6343.0,21533.191,301.5853138130252
sub-spaceloc1002,control,left,dorsal_visual_cortex,tool,71400,3.8914578,3246.0,12631.672,176.91417191876752
sub-spaceloc1002,control,left,ventral_visual_cortex,space,33176,3.575609,1755.0,6275.194,189.14859680661476
sub-spaceloc1002,control,left,ventral_visual_cortex,tool,33176,3.8462217,1230.0,4730.8525,142.59864176098685
sub-spaceloc1002,control,right,hemi,space,829306,3.4255931,15860.0,54329.906,65.51249629208036
sub-spaceloc1002,control,right,hemi,tool,829306,3.5723743,10814.0,38631.656,46.58311437515224
sub-spaceloc1002,control,right,dorsal_visual_cortex,space,72461,3.515727,7767.0,27306.652,376.84619786850857
sub-spaceloc1002,control,right,dorsal_visual_cortex,tool,72461,3.5610507,4477.0,15942.824,220.01937895902623
sub-spaceloc1002,control,right,ventral_visual_cortex,space,34010,3.138039,923.0,2896.4102,85.16348592325787
sub-spaceloc1002,control,right,ventral_visual_cortex,tool,34010,3.6164565,881.0,3186.0981,93.6812156580785
sub-spaceloc1003,control,left,hemi,space,697439,3.1208253,10576.0,33005.848,47.32435045394652
sub-spaceloc1003,control,left,hemi,tool,697439,3.5727882,6218.0,22215.598,31.853104940001923
sub-spaceloc1003,control,left,dorsal_visual_cortex,space,58582,3.150287,3958.0,12468.836,212.8441490133488
sub-spaceloc1003,control,left,dorsal_visual_cortex,tool,58582,3.3694139,2420.0,8153.9814,139.18919540665223
sub-spaceloc1003,control,left,ventral_visual_cortex,space,28510,3.220195,815.0,2624.459,92.05398051122413
sub-spaceloc1003,control,left,ventral_visual_cortex,tool,28510,3.8535492,871.0,3356.4414,117.72856563486496
sub-spaceloc1003,control,right,hemi,space,695952,3.4065418,27368.0,93230.234,133.96072484165575
sub-spaceloc1003,control,right,hemi,tool,695952,3.502713,4972.0,17415.488,25.023979069318
sub-spaceloc1003,control,right,dorsal_visual_cortex,space,56866,3.5329466,9518.0,33626.586,591.3302489624732
sub-spaceloc1003,control,right,dorsal_visual_cortex,tool,56866,3.4649193,2044.0,7082.295,124.54357475248833
sub-spaceloc1003,control,right,ventral_visual_cortex,space,28971,3.4903913,4016.0,14017.411,483.8428474271685
sub-spaceloc1003,control,right,ventral_visual_cortex,tool,28971,3.171592,361.0,1144.9447,39.52037217039237
